,Labels,XBRLID_predicted
95,ast bond portfolio five years expense example,rr_ExpenseExampleYear05
96,ast bond portfolio ten years expense example,rr_ExpenseExampleYear10
97,bloomberg barclays government credit index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
98,bloomberg barclays government credit index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
99,bloomberg barclays government credit index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
100,bloomberg barclays fixed maturity zero coupon swaps index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
101,bloomberg barclays fixed maturity zero coupon swaps index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
102,bloomberg barclays fixed maturity zero coupon swaps index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
103,bloomberg barclays government credit index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
104,bloomberg barclays fixed maturity zero coupon swaps index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
105,bloomberg barclays u s government credit index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
106,bloomberg barclays u s government credit index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
107,ast capital growth asset allocation one year expense example,rr_ExpenseExampleYear01
108,ast capital growth asset allocation three years expense example,rr_ExpenseExampleYear03
109,ast capital growth asset allocation five years expense example,rr_ExpenseExampleYear05
110,ast capital growth asset allocation ten years expense example,rr_ExpenseExampleYear10
111,ast clearbridge dividend growth one year expense example,rr_ExpenseExampleYear01
112,ast clearbridge dividend growth three years expense example,rr_ExpenseExampleYear03
113,ast clearbridge dividend growth five years expense example,rr_ExpenseExampleYear05
114,ast clearbridge dividend growth ten years expense example,rr_ExpenseExampleYear10
115,ast cohen steers global realty one year expense example,rr_ExpenseExampleYear01
116,ast cohen steers global realty three years expense example,rr_ExpenseExampleYear03
117,ast cohen steers global realty five years expense example,rr_ExpenseExampleYear05
118,ast cohen steers global realty ten years expense example,rr_ExpenseExampleYear10
119,ftse epra nareit developed real estate net index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
120,ftse epra nareit developed real estate net index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
121,ftse epra nareit developed real estate net index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
122,total annual portfolio operating expenses,rr_ExpensesOverAssets
123,ast cohen steers realty one year expense example,rr_ExpenseExampleYear01
124,ast cohen steers realty three years expense example,rr_ExpenseExampleYear03
125,ast cohen steers realty five years expense example,rr_ExpenseExampleYear05
126,ast cohen steers realty ten years expense example,rr_ExpenseExampleYear10
127,ftse nareit equity reits index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
128,ftse nareit equity reits index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
129,ftse nareit equity reits index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
130,ast emerging markets equity one year expense example,rr_ExpenseExampleYear01
131,ast emerging markets equity three years expense example,rr_ExpenseExampleYear03
132,ast emerging markets equity five years expense example,rr_ExpenseExampleYear05
133,ast emerging markets equity ten years expense example,rr_ExpenseExampleYear10
134,msci emerging markets index gd reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
135,msci emerging markets index gd reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
136,msci emerging markets index gd reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
137,ast fidelity institutional quantitative one year expense example,rr_ExpenseExampleYear01
138,ast fidelity institutional quantitative three years expense example,rr_ExpenseExampleYear03
139,ast fidelity institutional quantitative five years expense example,rr_ExpenseExampleYear05
140,ast fidelity institutional quantitative ten years expense example,rr_ExpenseExampleYear10
141,ast goldman sachs small cap value one year expense example,rr_ExpenseExampleYear01
142,ast goldman sachs small cap value three years expense example,rr_ExpenseExampleYear03
143,ast goldman sachs small cap value five years expense example,rr_ExpenseExampleYear05
144,ast goldman sachs small cap value ten years expense example,rr_ExpenseExampleYear10
145,russell index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
146,russell index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
147,russell index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
148,russell value index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
149,russell value index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
150,russell value index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
151,ast government money market one year expense example,rr_ExpenseExampleYear01
152,ast government money market three years expense example,rr_ExpenseExampleYear03
153,ast government money market five years expense example,rr_ExpenseExampleYear05
154,ast government money market ten years expense example,rr_ExpenseExampleYear10
155,lipper government money market funds average reflects deduction taxes one year average annual return,rr_AverageAnnualReturnYear01
156,lipper government money market funds average reflects deduction taxes five years average annual return,rr_AverageAnnualReturnYear05
157,lipper government money market funds average reflects deduction taxes ten years average annual return,rr_AverageAnnualReturnYear10
158,ast government money market portfolio,rr_MoneyMarketSevenDayYield
159,imoneynet s government agency retail average,rr_MoneyMarketSevenDayYield
160,ast high yield one year expense example,rr_ExpenseExampleYear01
161,ast high yield three years expense example,rr_ExpenseExampleYear03
162,ast high yield five years expense example,rr_ExpenseExampleYear05
163,ast high yield ten years expense example,rr_ExpenseExampleYear10
164,ice bofaml high yield master ii index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
165,ice bofaml high yield master ii index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
166,ice bofaml high yield master ii index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
167,ast hotchkis wiley large cap value one year expense example,rr_ExpenseExampleYear01
168,ast hotchkis wiley large cap value three years expense example,rr_ExpenseExampleYear03
169,ast hotchkis wiley large cap value five years expense example,rr_ExpenseExampleYear05
170,ast hotchkis wiley large cap value ten years expense example,rr_ExpenseExampleYear10
171,ast international growth one year expense example,rr_ExpenseExampleYear01
172,ast international growth three years expense example,rr_ExpenseExampleYear03
173,ast international growth five years expense example,rr_ExpenseExampleYear05
174,ast international growth ten years expense example,rr_ExpenseExampleYear10
175,msci europe australasia and far east eafe index gd reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
176,msci europe australasia and far east eafe index gd reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
177,msci europe australasia and far east eafe index gd reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
178,ast international value one year expense example,rr_ExpenseExampleYear01
179,ast international value three years expense example,rr_ExpenseExampleYear03
180,ast international value five years expense example,rr_ExpenseExampleYear05
181,ast international value ten years expense example,rr_ExpenseExampleYear10
182,ast investment grade bond one year expense example,rr_ExpenseExampleYear01
183,ast investment grade bond three years expense example,rr_ExpenseExampleYear03
184,ast investment grade bond five years expense example,rr_ExpenseExampleYear05
185,ast investment grade bond ten years expense example,rr_ExpenseExampleYear10
186,ast j morgan global thematic one year expense example,rr_ExpenseExampleYear01
187,ast j morgan global thematic three years expense example,rr_ExpenseExampleYear03
188,ast j morgan global thematic five years expense example,rr_ExpenseExampleYear05
189,ast j morgan global thematic ten years expense example,rr_ExpenseExampleYear10
190,blended index prior reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
191,blended index effective reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
192,ast j morgan international equity one year expense example,rr_ExpenseExampleYear01
193,ast j morgan international equity three years expense example,rr_ExpenseExampleYear03
194,ast j morgan international equity five years expense example,rr_ExpenseExampleYear05
195,ast j morgan international equity ten years expense example,rr_ExpenseExampleYear10
196,ast j morgan tactical preservation ast j morgan strategic opportunities one year expense example,rr_ExpenseExampleYear01
197,ast j morgan tactical preservation ast j morgan strategic opportunities three year expense example,rr_ExpenseExampleYear03
198,ast j morgan tactical preservation ast j morgan strategic opportunities five years expense example,rr_ExpenseExampleYear05
199,ast j morgan tactical preservation ast j morgan strategic opportunities ten years expense example,rr_ExpenseExampleYear10
200,ast jennison large cap growth one year expense example,rr_ExpenseExampleYear01
201,ast jennison large cap growth three years expense example,rr_ExpenseExampleYear03
202,ast jennison large cap growth five years expense example,rr_ExpenseExampleYear05
203,ast jennison large cap growth ten years expense example,rr_ExpenseExampleYear10
204,ast large cap core one year expense example,rr_ExpenseExampleYear01
205,ast large cap core three years expense example,rr_ExpenseExampleYear03
206,ast large cap core five years expense example,rr_ExpenseExampleYear05
207,ast large cap core ten years expense example,rr_ExpenseExampleYear10
208,ast loomis sayles large cap growth one year expense example,rr_ExpenseExampleYear01
209,ast loomis sayles large cap growth three years expense example,rr_ExpenseExampleYear03
210,ast loomis sayles large cap growth five years expense example,rr_ExpenseExampleYear05
211,ast loomis sayles large cap growth ten years expense example,rr_ExpenseExampleYear10
212,ast mfs global equity one year expense example,rr_ExpenseExampleYear01
213,ast mfs global equity three years expense example,rr_ExpenseExampleYear03
214,ast mfs global equity five years expense example,rr_ExpenseExampleYear05
215,ast mfs global equity ten years expense example,rr_ExpenseExampleYear10
216,msci world index gd reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
217,msci world index gd reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
218,msci world index gd reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
219,ast mfs growth allocation one year expense example,rr_ExpenseExampleYear01
220,ast mfs growth allocation three years expense example,rr_ExpenseExampleYear03
221,ast mfs growth allocation five years expense example,rr_ExpenseExampleYear05
222,ast mfs growth allocation ten years expense example,rr_ExpenseExampleYear10
223,blended index as of reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
224,blended index as of reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
225,blended index as of reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
226,ast mfs growth one year expense example,rr_ExpenseExampleYear01
227,ast mfs growth three years expense example,rr_ExpenseExampleYear03
228,ast mfs growth five years expense example,rr_ExpenseExampleYear05
229,ast mfs growth ten years expense example,rr_ExpenseExampleYear10
230,ast mfs large cap value one year expense example,rr_ExpenseExampleYear01
231,ast mfs large cap value three years expense example,rr_ExpenseExampleYear03
232,ast mfs large cap value five years expense example,rr_ExpenseExampleYear05
233,ast mfs large cap value ten years expense example,rr_ExpenseExampleYear10
234,ast mid cap growth one year expense example,rr_ExpenseExampleYear01
235,ast mid cap growth three years expense example,rr_ExpenseExampleYear03
236,ast mid cap growth five years expense example,rr_ExpenseExampleYear05
237,ast mid cap growth ten years expense example,rr_ExpenseExampleYear10
238,russell midcap growth index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
239,russell midcap growth index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
240,russell midcap growth index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
241,ast mid cap value ast neuberger berman lsv mid cap value one year expense example,rr_ExpenseExampleYear01
242,ast mid cap value ast neuberger berman lsv mid cap value three years expense example,rr_ExpenseExampleYear03
243,ast mid cap value ast neuberger berman lsv mid cap value five years expense example,rr_ExpenseExampleYear05
244,ast mid cap value ast neuberger berman lsv mid cap value ten years expense example,rr_ExpenseExampleYear10
245,russell midcap value index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
246,russell midcap value index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
247,russell midcap value index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
248,russell midcap index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
249,russell midcap index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
250,russell midcap index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
251,ast preservation asset allocation one year expense example,rr_ExpenseExampleYear01
252,ast preservation asset allocation three years expense example,rr_ExpenseExampleYear03
253,ast preservation asset allocation five years expense example,rr_ExpenseExampleYear05
254,ast preservation asset allocation ten years expense example,rr_ExpenseExampleYear10
255,ast prudential core bond one year expense example,rr_ExpenseExampleYear01
256,ast prudential core bond three years expense example,rr_ExpenseExampleYear03
257,ast prudential core bond five years expense example,rr_ExpenseExampleYear05
258,ast prudential core bond ten years expense example,rr_ExpenseExampleYear10
259,bloomberg barclays aggregate index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
260,ast prudential growth allocation one year expense example,rr_ExpenseExampleYear01
261,ast prudential growth allocation three years expense example,rr_ExpenseExampleYear03
262,ast prudential growth allocation five years expense example,rr_ExpenseExampleYear05
263,ast prudential growth allocation ten years expense example,rr_ExpenseExampleYear10
264,dividend expense on short sales,rr_Component1OtherExpensesOverAssets
265,ast qma equity alpha one year expense example,rr_ExpenseExampleYear01
266,ast qma equity alpha three years expense example,rr_ExpenseExampleYear03
267,ast qma equity alpha five years expense example,rr_ExpenseExampleYear05
268,ast qma equity alpha ten years expense example,rr_ExpenseExampleYear10
269,ast quantitative modeling one year expense example,rr_ExpenseExampleYear01
270,ast quantitative modeling three years expense example,rr_ExpenseExampleYear03
271,ast quantitative modeling five years expense example,rr_ExpenseExampleYear05
272,ast quantitative modeling ten years expense example,rr_ExpenseExampleYear10
273,blended index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
274,ast small cap growth one year expense example,rr_ExpenseExampleYear01
275,ast small cap growth three years expense example,rr_ExpenseExampleYear03
276,ast small cap growth five years expense example,rr_ExpenseExampleYear05
277,ast small cap growth ten years expense example,rr_ExpenseExampleYear10
278,russell growth index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
279,russell growth index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
280,russell growth index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
281,ast small cap growth opportunities one year expense example,rr_ExpenseExampleYear01
282,ast small cap growth opportunities three years expense example,rr_ExpenseExampleYear03
283,ast small cap growth opportunities five years expense example,rr_ExpenseExampleYear05
284,ast small cap growth opportunities ten years expense example,rr_ExpenseExampleYear10
285,ast small cap value one year expense example,rr_ExpenseExampleYear01
286,ast small cap value three years expense example,rr_ExpenseExampleYear03
287,ast small cap value five years expense example,rr_ExpenseExampleYear05
288,ast small cap value ten years expense example,rr_ExpenseExampleYear10
289,ast rowe price asset allocation one year expense example,rr_ExpenseExampleYear01
290,ast rowe price asset allocation three years expense example,rr_ExpenseExampleYear03
291,ast rowe price asset allocation five years expense example,rr_ExpenseExampleYear05
292,ast rowe price asset allocation ten years expense example,rr_ExpenseExampleYear10
293,ast rowe price growth opportunities one year expense example,rr_ExpenseExampleYear01
294,ast rowe price growth opportunities three years expense example,rr_ExpenseExampleYear03
295,ast rowe price growth opportunities five year expense example,rr_ExpenseExampleYear05
296,ast rowe price growth opportunities ten years expense example,rr_ExpenseExampleYear10
297,ast rowe price large cap growth one year expense example,rr_ExpenseExampleYear01
298,ast rowe price large cap growth three years expense example,rr_ExpenseExampleYear03
299,ast rowe price large cap growth five years expense example,rr_ExpenseExampleYear05
300,ast rowe price large cap growth ten years expense example,rr_ExpenseExampleYear10
301,ast rowe price large cap value one year expense example,rr_ExpenseExampleYear01
302,ast rowe price large cap value three years expense example,rr_ExpenseExampleYear03
303,ast rowe price large cap value five years expense example,rr_ExpenseExampleYear05
304,ast rowe price large cap value ten years expense example,rr_ExpenseExampleYear10
305,ast rowe price natural resources one year expense example,rr_ExpenseExampleYear01
306,ast rowe price natural resources three years expense example,rr_ExpenseExampleYear03
307,ast rowe price natural resources five years expense example,rr_ExpenseExampleYear05
308,ast rowe price natural resources ten years expense example,rr_ExpenseExampleYear10
309,lipper global natural resources funds index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
310,lipper global natural resources funds index reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
311,lipper global natural resources funds index reflects deduction fees expenses taxes ten years average annual return,rr_AverageAnnualReturnYear10
312,ast wellington management hedged equity one year expense example,rr_ExpenseExampleYear01
313,ast wellington management hedged equity three years expense example,rr_ExpenseExampleYear03
314,ast wellington management hedged equity five years expense example,rr_ExpenseExampleYear05
315,ast wellington management hedged equity ten years expense example,rr_ExpenseExampleYear10
316,ast western asset core plus bond one year expense example,rr_ExpenseExampleYear01
317,ast western asset core plus bond three years expense example,rr_ExpenseExampleYear03
318,ast western asset core plus bond five years expense example,rr_ExpenseExampleYear05
319,ast western asset core plus bond ten years expense example,rr_ExpenseExampleYear10
320,total annual portfolio operating expenses after fee waiver and expense reimbursement,rr_NetExpensesOverAssets
321,ast western asset emerging markets debt one year expense example,rr_ExpenseExampleYear01
322,ast western asset emerging markets debt three years expense example,rr_ExpenseExampleYear03
323,ast western asset emerging markets debt five years expense example,rr_ExpenseExampleYear05
324,ast western asset emerging markets debt ten years expense example,rr_ExpenseExampleYear10
325,j morgan emerging markets bond index embi global reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
326,j morgan emerging markets bond index embi global reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
327,j morgan emerging markets bond index embi global reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
328,ast american funds growth allocation one year expense example,rr_ExpenseExampleYear01
329,ast american funds growth allocation three years expense example,rr_ExpenseExampleYear03
330,ast american funds growth allocation five years expense example,rr_ExpenseExampleYear05
331,ast american funds growth allocation ten years expense example,rr_ExpenseExampleYear10
332,ast dimensional global core allocation one year expense example,rr_ExpenseExampleYear01
333,ast dimensional global core allocation three years expense example,rr_ExpenseExampleYear03
334,ast dimensional global core allocation five years expense example,rr_ExpenseExampleYear05
335,ast dimensional global core allocation ten years expense example,rr_ExpenseExampleYear10
336,ast global bond ast wellington management global bond one year expense example,rr_ExpenseExampleYear01
337,ast global bond ast wellington management global bond three years expense example,rr_ExpenseExampleYear03
338,ast global bond ast wellington management global bond five years expense example,rr_ExpenseExampleYear05
339,ast global bond ast wellington management global bond ten years expense example,rr_ExpenseExampleYear10
340,portfolio five year average annual return,rr_AverageAnnualReturnYear05
341,bloomberg barclays global aggregate dollar hedged index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
342,bloomberg barclays global aggregate dollar hedged index reflects deduction fees expenses taxes five year average annual return,rr_AverageAnnualReturnYear05
343,bloomberg barclays global aggregate dollar hedged index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
344,ast prudential flexible multi strategy one year expense example,rr_ExpenseExampleYear01
345,ast prudential flexible multi strategy three years expense example,rr_ExpenseExampleYear03
346,ast prudential flexible multi strategy five years expense example,rr_ExpenseExampleYear05
347,ast prudential flexible multi strategy ten years expense example,rr_ExpenseExampleYear10
348,msci acwi gd reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
349,msci acwi gd reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
350,msci acwi gd reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
351,acquired management fees,rr_ManagementFeesOverAssets
352,ast qma international core equity one year expense example,rr_ExpenseExampleYear01
353,ast qma international core equity three years expense example,rr_ExpenseExampleYear03
354,ast qma international core equity five years expense example,rr_ExpenseExampleYear05
355,ast qma international core equity ten years expense example,rr_ExpenseExampleYear10
356,msci europe australasia and far east eafe index nd reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
357,msci europe australasia and far east eafe index nd reflects deduction fees expenses taxes five years average annual return,rr_AverageAnnualReturnYear05
358,msci europe australasia and far east eafe index nd reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
359,ast rowe price diversified real growth one year expense example,rr_ExpenseExampleYear01
360,ast rowe price diversified real growth three years expense example,rr_ExpenseExampleYear03
361,ast rowe price diversified real growth five years expense example,rr_ExpenseExampleYear05
362,ast rowe price diversified real growth ten years expense example,rr_ExpenseExampleYear10
363,fee waiver and expense reimbursement,rr_FeeWaiverOrReimbursementOverAssets
364,ast blackrock corporate bond one year expense example,rr_ExpenseExampleYear01
365,ast blackrock corporate bond three years expense example,rr_ExpenseExampleYear03
366,ast blackrock corporate bond five years expense example,rr_ExpenseExampleYear05
367,ast blackrock corporate bond ten years expense example,rr_ExpenseExampleYear10
368,bloomberg barclays intermediate corporate index reflects deduction fees expenses taxes one year average annual return,rr_AverageAnnualReturnYear01
369,bloomberg barclays intermediate corporate index reflects deduction fees expenses taxes since inception average annual return,rr_AverageAnnualReturnSinceInception
370,ast pimco corporate bond one year expense example,rr_ExpenseExampleYear01
371,ast pimco corporate bond three years expense example,rr_ExpenseExampleYear03
372,ast pimco corporate bond five years expense example,rr_ExpenseExampleYear05
373,ast pimco corporate bond ten years expense example,rr_ExpenseExampleYear10
374,ast prudential corporate bond one year expense example,rr_ExpenseExampleYear01
375,ast prudential corporate bond three years expense example,rr_ExpenseExampleYear03
376,ast prudential corporate bond five years expense example,rr_ExpenseExampleYear05
377,ast prudential corporate bond ten years expense example,rr_ExpenseExampleYear10
378,ast rowe price corporate bond one year expense example,rr_ExpenseExampleYear01
379,ast rowe price corporate bond three years expense example,rr_ExpenseExampleYear03
